field,title,summary,cleaned_summary,negative_p,neutral_p,postive_p,subjectivity,subjectivity type
world,"Haiti’s president assassinated by ‘professional’ commandos, 4 killed, 2 arrested, report says",haiti’s national police managed to kill four suspects and arrest two others they said were involved in the well-coordinated assassination ofpresident jovenel moïse,haiti national police managed kill four suspects arrest two others said involved well-coordinated assassination ofpresident jovenel moïse,0.414,0.586,0,0,Factual
latest,Man arrested in fatal shooting of couple during Chicago's Puerto Rican Parade: police,a 34-year-old man sought by police in the fatal shooting of a couple at a puerto rican culture celebration in chicago has been arrested in california,34-year-old man sought police fatal shooting couple puerto rican culture celebration chicago arrested california,0.216,0.784,0,0,Factual
latest,"Trump speech, CPAC straw poll, put 2024 GOP presidential race in Sunday spotlight",the road to the 2024 gop presidential nomination winds through texas on sunday as former president trump and two other potential republican white house contenders take the stage on the final day of the conservative political action conference (cpac) in dallas,road 2024 gop presidential nomination winds texas sunday former president trump two potential republican white house contenders take stage final day conservative political action conference ( cpac ) dallas,0,1,0,0.366666667,Objective
latest,"Katharine Hepburn had ‘an instant attraction’ to Spencer Tracy, remained devoted to him until death, pal says",katharine hepburn tried to act nonchalant about spencer tracy and even made jokes about his height however a romance blossomed between the pair and lasted until the actor’s death in 1967 at age 67 from a heart attack,katharine hepburn tried act nonchalant spencer tracy even made jokes height however romance blossomed pair lasted actor death 1967 age 67 heart attack,0.141,0.663,0.197,0,Factual
latest,Olivia Jade responds to 'Gossip Girl' jab about her mother Lori Loughlin going to prison,olivia jade took to instagram to respond to a line in the new “gossip girl” reboot that skewered her parents‘ involvement in the college admissions scandal,olivia jade took instagram respond line new “ gossip girl ” reboot skewered parents ‘ involvement college admissions scandal,0.104,0.896,0,0.454545455,Objective
latest,Lightning strikes truck in shocking video — Here's why the driver survived,dashcam footage captured the moment a bolt of lightning hit a truck on a chinese highway the driver was ok thanks to the faraday cage effect,dashcam footage captured moment bolt lightning hit truck chinese highway driver ok thanks faraday cage effect,0,0.825,0.175,0.233333333,Objective
latest,Donald Trump Jr. on his father's Sunday CPAC speech: 'People will be outraged',former president donald trump will close this weekend's cpac gathering in texas by delivering the event's headliner speech,former president donald trump close weekend 's cpac gathering texas delivering event 's headliner speech,0,1,0,0,Factual
latest,Everything we know about Kelly Preston's final movie 'Off the Rails',on the one-year anniversary of her unexpected death kelly preston’s final on-screen role remains unreleased,one-year anniversary unexpected death kelly preston final on-screen role remains unreleased,0.218,0.782,0,1,Opinion
latest,"Texas mom charged with neglect, evidence tampering 3 years after boyfriend allegedly killed her toddler",a texas bartender whose toddler son was found dead in her boyfriend’s home three years ago has been arrested after secret service investigators helped local police crack encrypted phone messages that allegedly show her indifference to his repeated threats against her child,texas bartender whose toddler son found dead boyfriend home three years ago arrested secret service investigators helped local police crack encrypted phone messages allegedly show indifference repeated threats child,0.231,0.769,0,0.3,Objective
latest,Lady A cancels Minnesota festival gig after bandmember gets appendicitis,country trio lady a was forced to pull out of a music festival in minnesota saturday after one of the members got appendicitis,country trio lady forced pull music festival minnesota saturday one members got appendicitis,0.11,0.772,0.118,0.2,Objective
latest,Denver maid reports ‘bunch of guns’ in hotel room near MLB All-Star Game site; 4 arrests: report,"four suspects were arrested in denver after a maid working at a hotel near the city’s coors field baseball stadium discovered ""a bunch of guns laid out"" in a room according to reports",four suspects arrested denver maid working hotel near city coors field baseball stadium discovered `` bunch guns laid '' room according reports,0.151,0.849,0,0.4,Objective
