field,title,summary,cleaned_summary,negative_p,neutral_p,postive_p,subjectivity,subjectivity type
politics,F.D.A. Seeks Investigation of Its Own Alzheimer’s Drug Approval,the agencys acting head said a review should look into whether any interactions between agency staff and the drug developer biogen broke fda rules,agencys acting head said review look whether interactions agency staff drug developer biogen broke fda rules,0.109,0.891,0,0,Factual
politics,Biden Urges Putin to Take Action Against,president biden warned that the united states reserves the right to respond against hackers who launch attacks from inside russia,president biden warned united states reserves right respond hackers launch attacks inside russia,0.202,0.685,0.113,0.535714286,Opinion
politics,Chief Guantánamo Prosecutor Retiring Before Sept. 11 Trial Begins,army brig gen mark martins had held the job longest and was for many years the public face of military commissions,army brig gen mark martins held job longest many years public face military commissions,0,1,0,0.222222222,Objective
politics,Biden's Executive Order on Competition: A Quick Rundown,the white house asked more than a dozen federal agencies for input and action on initiatives designed to increase competition and limit the power of large corporations,white house asked dozen federal agencies input action initiatives designed increase competition limit power large corporations,0,0.919,0.081,0.176190476,Objective
politics,Garland Settles In but Trump Era Still Shadows the Justice Dept.,the attorney generals decisions in a handful of cases have shaped an early challenge for him fortifying the departments independence,attorney generals decisions handful cases shaped early challenge fortifying departments independence,0,0.936,0.064,0.3,Objective
national,Britney Spears's Case Raises Questions on Guardianship,legal oversight arrangements are seen as protection for some but advocates for people with disabilities question the need for them in many cases,legal oversight arrangements seen protection advocates people disabilities question need many cases,0,0.946,0.054,0.35,Objective
national,Investigating a Building Collapse by Studying Clues From One Still Standing,an expert called upon after the 911 attacks and the oklahoma city bombing is now examining the champlain towers north in surfside fla to discover why its sister building collapsed,expert called upon 911 attacks oklahoma city bombing examining champlain towers north surfside fla discover sister building collapsed,0.152,0.848,0,0,Factual
national,Hidden Costs and Flawed Training Plague the V.A.’s Huge Software Upgrade,a 16 billion effort to modernize health records at the department of veterans affairs ran into major problems in its first installation two watchdog reports say,16 billion effort modernize health records department veterans affairs ran major problems first installation two watchdog reports say,0.107,0.893,0,0.416666667,Objective
national,Heat-Related Deaths Increase as Temperatures Rise in the West,recordbreaking heat was expected throughout the west coast this weekend days after a deadly heat wave struck oregon and washington state,recordbreaking heat expected throughout west coast weekend days deadly heat wave struck oregon washington state,0.091,0.909,0,0.4,Objective
national,Young Sikh Farmers in California Keep Up a Long Tradition,in california a young generation of sikh farmers has agricultural roots that stretch back 900 years,california young generation sikh farmers agricultural roots stretch back 900 years,0,1,0,0.2,Objective
national,"After All-Night Hearing, Texas Republicans Advance Voting Measure",a republicanbacked bill to overhaul the states voting system cleared a key house committee in the legislature on sunday morning after nearly 24 hours of testimony,republicanbacked bill overhaul states voting system cleared key house committee legislature sunday morning nearly 24 hours testimony,0,0.947,0.053,0.7,Opinion
national,"Behind Zaila Avant-garde’s Win, a History of Struggle for Black Spellers",before zaila became the first black american to win the scripps national spelling bee other black students faced decades of discrimination and doubts about their abilities,zaila became first black american win scripps national spelling bee black students faced decades discrimination doubts abilities,0.071,0.742,0.187,0.32,Objective
national,Janet Yellen Warns That Coronavirus Variants Threaten Global Recovery,at the end of a gathering of the finance ministers of the group of 20 nations the us treasury secretary called for an acceleration of vaccine distribution worldwide,end gathering finance ministers group 20 nations us treasury secretary called acceleration vaccine distribution worldwide,0,0.938,0.062,0,Factual
national,‘You Just Feel Like Nothing’: California to Pay Sterilization Victims,more than 20000 people many of them disabled poor or people of color were forced to undergo the procedure under the states decadeslong eugenics program,20000 people many disabled poor people color forced undergo procedure states decadeslong eugenics program,0.21,0.79,0,0.4,Objective
national,"After Deadly Collapse, Florida Condo Residents Are Fearful",a deadly condo collapse in florida has prompted a close look at other buildings a luxury tower in bal harbour was deemed safe but it still needs 45 million in restoration,deadly condo collapse florida prompted close look buildings luxury tower bal harbour deemed safe still needs 45 million restoration,0.064,0.877,0.059,0.45,Objective
national,How Did Allison Highwolf Die? Distrust Fuels a Mystery in Indian Country.,when a northern cheyenne family questioned their daughters untimely death official indifference deepened their pain  and their suspicions,northern cheyenne family questioned daughters untimely death official indifference deepened pain suspicions,0.486,0.514,0,0,Factual
national,Two Are Killed in Arizona Firefighting Plane Crash,the plane was engaged in aerial reconnaissance over the cedar basin fire when it crashed on saturday the bureau of land management said,plane engaged aerial reconnaissance cedar basin fire crashed saturday bureau land management said,0.092,0.805,0.103,0,Factual
national,"After Walkout, Texas Voting Showdown Part II Looms",the texas legislature is trying again after democrats staged an abrupt walkout in may to kill a republican plan narrowing voting options in the state,texas legislature trying democrats staged abrupt walkout may kill republican plan narrowing voting options state,0.233,0.767,0,1,Opinion
national,"Athan Theoharis, Chronicler of F.B.I. Abuses, Dies at 84",he found his way through the formerly unobtainable files of j edgar hoover whom he called an insubordinate bureaucrat in charge of a lawless organization,found way formerly unobtainable files j edgar hoover called insubordinate bureaucrat charge lawless organization,0,1,0,0,Factual
national,Texas Man Who Waited Hours to Vote Is Arrested on Charges of Illegal Voting,hervis rogers was ineligible to cast a ballot in the 2020 presidential primary because he was still on parole according to the states attorney general he now faces four decades in prison,hervis rogers ineligible cast ballot 2020 presidential primary still parole according states attorney general faces four decades prison,0.096,0.904,0,0.5,Objective
national,"Hiring, Firing, Setting the Culture: Black Women at the Top of TV News",the book ladies leading shines a spotlight on the highest ranking black women in television news management but even at the top sexism and racism abound,book ladies leading shines spotlight highest ranking black women television news management even top sexism racism abound,0.177,0.754,0.069,0.466666667,Objective
national,Haiti’s Troop Request Presents Hard Choice for Biden,pentagon officials noted that the request was broad and did not specify the number or types of forces needed,pentagon officials noted request broad specify number types forces needed,0.064,0.936,0,0.3125,Objective
national,Death Valley Hits 130 Degrees as Heat Wave Sweeps the West,temperatures were broiling from utah to california as another heat dome led western states to set up cooling centers and issue motel vouchers,temperatures broiling utah california another heat dome led western states set cooling centers issue motel vouchers,0,1,0,0,Factual
national,Global Tax Overhaul Gains Steam as G20 Backs New Levies,the approach marks a reversal of years of economic policies that embraced low taxes as a way for countries to attract investment and fuel growth,approach marks reversal years economic policies embraced low taxes way countries attract investment fuel growth,0.072,0.753,0.175,0.25,Objective
national,The Big Question of the 2022 Midterms: How Will the Suburbs Swing?,democrats and republicans are already jockeying for a crucial voting bloc that soured on donald trump tilted to joe biden and now holds the key to the second half of the presidents term,democrats republicans already jockeying crucial voting bloc soured donald trump tilted joe biden holds key second half presidents term,0,1,0,0.453333333,Objective
world,How Local Guerrilla Fighters Routed Ethiopia’s Powerful Army,a scrappy force of local tigrayan recruits scored a cascade of battlefield victories against the ethiopian military one of africas strongest times journalists witnessed the decisive week in an eightmonth civil war,scrappy force local tigrayan recruits scored cascade battlefield victories ethiopian military one africas strongest times journalists witnessed decisive week eightmonth civil war,0.165,0.712,0.122,0.05,Objective
world,Pope Francis Leads Sunday Prayer a Week After Surgery,francis made his first public appearance since the operation greeting the faithful gathered in the courtyard of romes gemelli hospital his voice appearing weak at times,francis made first public appearance since operation greeting faithful gathered courtyard romes gemelli hospital voice appearing weak times,0.092,0.732,0.175,0.341666667,Objective
world,Soccer Success Is Making England ‘Whole Again’,the stunning rise of englands soccer team is helping define a new vision of englishness putting the lie to those who would stir culture wars,stunning rise englands soccer team helping define new vision englishness putting lie would stir culture wars,0.115,0.669,0.217,0.727272727,Opinion
world,"In Sri Lanka, the Government Looks Increasingly Like a Family Firm",three brothers of president gotabaya rajapaksa now hold top posts in his government two of his nephews have official positions too,three brothers president gotabaya rajapaksa hold top posts government two nephews official positions,0,0.917,0.083,0.5,Objective
world,Janet Yellen Warns That Coronavirus Variants Threaten Global Recovery,at the end of a gathering of the finance ministers of the group of 20 nations the us treasury secretary called for an acceleration of vaccine distribution worldwide,end gathering finance ministers group 20 nations us treasury secretary called acceleration vaccine distribution worldwide,0,0.938,0.062,0,Factual
world,Death Valley Hits 130 Degrees as Heat Wave Sweeps the West,temperatures were broiling from utah to california as another heat dome led western states to set up cooling centers and issue motel vouchers,temperatures broiling utah california another heat dome led western states set cooling centers issue motel vouchers,0,1,0,0,Factual
world,Haiti’s Troop Request Presents Hard Choice for Biden,pentagon officials noted that the request was broad and did not specify the number or types of forces needed,pentagon officials noted request broad specify number types forces needed,0.064,0.936,0,0.3125,Objective
world,Who Paid for That Mansion in Canada? Haitians Demand Answers,valued at 34 million a haitian senators montreal villa has become a potent emblem of the growing gap between haitis impoverished citizens and its wealthy political elite,valued 34 million haitian senators montreal villa become potent emblem growing gap haitis impoverished citizens wealthy political elite,0,0.772,0.228,0.533333333,Opinion
world,Turkey's Sea of Marmara Is Choking From Pollution,a slimy secretion has coated harbors and beaches and smothered marine life warming waters are part of the problem,slimy secretion coated harbors beaches smothered marine life warming waters part problem,0.207,0.721,0.072,0,Factual
world,"‘Mother, When Will You Come?’: The Covid Orphans of India",thousands of children lost their parents during a calamitous wave of infections while the government is vowing to help them many face the risk of neglect and exploitation when the attention fades,thousands children lost parents calamitous wave infections government vowing help many face risk neglect exploitation attention fades,0.194,0.735,0.071,0.5,Objective
world,Italy Holds Its Breath as Its National Soccer Team Prepares to Face England,a small soccer museum in florence tells the story of the italian national team and the fans hopes for the euro 2021 final match,small soccer museum florence tells story italian national team fans hopes euro 2021 final match,0,0.891,0.109,0.466666667,Objective
world,Assassination of Haiti's President Fuels a Battle for Control,the contest for power is taking place on two levels one battle pits current politicians against one another the other is among power brokers vying for control behind the scenes,contest power taking place two levels one battle pits current politicians one another among power brokers vying control behind scenes,0.082,0.918,0,0.55,Opinion
world,"Architect Finds a Sense of Belonging for His Family’s Homeland, and for Himself",omar degan was born in italy to somali parents who fled before the african nations civil war hes now helping rebuild the country by looking to the past to build for the future,omar degan born italy somali parents fled african nations civil war hes helping rebuild country looking past build future,0.105,0.836,0.059,0.125,Objective
world,Iranians Are Traveling to Armenia to Get Covid Vaccines,irans daily caseload has been rising and only 2 percent of its population is fully vaccinated,irans daily caseload rising 2 percent population fully vaccinated,0,1,0,0,Factual
world,"Joseph Lambert, Leader of Haiti’s Senate, Vies for Power",joseph lambert has been backed by a group of lawmakers and a coalition of parties to become the countrys provisional president,joseph lambert backed group lawmakers coalition parties become countrys provisional president,0,0.833,0.167,0,Factual
world,Asia Grapples With Delta-Driven Outbreaks,across the region everyday activities are again being restricted even as the west edges back to normalcy,across region everyday activities restricted even west edges back normalcy,0.14,0.86,0,0.3,Objective
world,"New Zealand, where Covid-19 is dormant, fights another respiratory virus, and other news from around the world.",the countrys lockdowns to keep the coronavirus at bay may have helped spur an outbreak of a flulike illness in children,countrys lockdowns keep coronavirus bay may helped spur outbreak flulike illness children,0.119,0.881,0,0,Factual
world,Breath-Based Coronavirus Tests Are Being Developed,its clear now i think that you can detect this disease with a breath test said one scientist,clear think detect disease breath test said one scientist,0,0.867,0.133,0.383333333,Objective
world,"Martine Moïse, Widow of Haiti President, Speaks After Husband's Assassination",an audio recording claimed to be of martine moïse who was wounded in the attack that killed her husband urged people to carry on his battle but doubts were raised about the clips authenticity,audio recording claimed martine moïse wounded attack killed husband urged people carry battle doubts raised clips authenticity,0.239,0.761,0,0,Factual
world,Egypt Denies Times Report That Officials Sexually Abused Women,the government rejected the accounts of women who said they were sexually assaulted by egyptian security and justice officials during searches,government rejected accounts women said sexually assaulted egyptian security justice officials searches,0.227,0.576,0.197,0.833333333,Opinion
world,Sister of Colombian Accused in Haiti Assassination Says He Went to Protect,his message came shortly before he died himself in the bloody aftermath of the assassination,message came shortly died bloody aftermath assassination,0.464,0.536,0,0.6,Opinion
world,"On This German Farm, Cows Are in Charge. Or at Least Coequals.",the cows dont have to produce milk the pigs sleep late no animal on this former dairy farm serves a human need their only purpose is to live peacefully  and provoke questions about how we eat,cows dont produce milk pigs sleep late animal former dairy farm serves human need purpose live peacefully provoke questions eat,0.119,0.799,0.082,0.34,Objective
world,"After Years as a Battleground, Investment Boom Lifts Iraqi City",ramadi was the site of some of the fiercest fighting against us troops during the iraq war then came a devastating fight with isis now its emerging as one of iraqs most stable cities,ramadi site fiercest fighting us troops iraq war came devastating fight isis emerging one iraqs stable cities,0.297,0.647,0.056,1,Opinion
world,Privacy Is Still a Victim When Rape Cases Hit the Justice System,britain is struggling to end its dependence on the traumatizing seizure of data from victims phones pervasive rape culture is making it difficult,britain struggling end dependence traumatizing seizure data victims phones pervasive rape culture making difficult,0.464,0.536,0,1,Opinion
world,"Heat Wave Spread Fire That Erased Lytton, British Columbia",busloads of residents went to tour the charred town of lytton british columbia this week and found it almost unrecognizable,busloads residents went tour charred town lytton british columbia week found almost unrecognizable,0,1,0,0,Factual
world,"Haiti Officials Called for U.S. Troops. Some Haitians Say, 'No, No & No.'",intellectuals activists and others say the country needs to find a solution on its own and that international intervention has damaged their country,intellectuals activists others say country needs find solution international intervention damaged country,0.104,0.719,0.176,0,Factual
world,Car Bomb Targeting Somali Police Kills at Least 5,the attack in mogadishu was claimed by al shabab the qaedalinked islamist group that has carried out waves of attacks in an effort to topple the government,attack mogadishu claimed al shabab qaedalinked islamist group carried waves attacks effort topple government,0.194,0.806,0,0,Factual
world,"Jehan Sadat, 87, Widow of Egypt’s President and Women’s Advocate, Dies",until her husband was assassinated in 1981 she pushed him to enact measures aimed at improving womens rights and education,husband assassinated 1981 pushed enact measures aimed improving womens rights education,0,0.872,0.128,0,Factual
world,Biden Administration Punts on Due Process Rights for Guantánamo Detainees,an anticipated brief filed under seal is said to take no position on whether the constitutions due process clause protects detainees,anticipated brief filed seal said take position whether constitutions due process clause protects detainees,0.094,0.809,0.098,0.354166667,Objective
world,"Haiti Calls U.S. for Troops, After Wild Day of Gunfights and Suspicion",at least 20 people were arrested in the assassination of the haitian president  18 colombians and 2 americans of haitian descent  on a day of deepening mystery,least 20 people arrested assassination haitian president 18 colombians 2 americans haitian descent day deepening mystery,0.219,0.781,0,0.4,Objective
world,Indigenous Women Assume and Cede Prominent Positions in Canada,this week canadas largest indigenous organization selected a woman as its chief for the first time and an inuk was named governor general but canadas first indigenous justice minister said shes leaving politics,week canadas largest indigenous organization selected woman chief first time inuk named governor general canadas first indigenous justice minister said shes leaving politics,0,0.874,0.126,0.388888889,Objective
world,Blast in Tehran Near State Broadcasting Headquarters Rattles Iran,an explosion in a park near the state broadcasting company rocked irans capital early saturday morning no casualties were reported and it was uncertain if the blast was an attack or accident,explosion park near state broadcasting company rocked irans capital early saturday morning casualties reported uncertain blast attack accident,0.275,0.725,0,0.35,Objective
world,Colombia Names 13 Ex-Soldiers Among Haiti Assassination Suspects,one told his wife that he had a very good job opportunity colombian military veterans have been known to act as hired guns after their service,one told wife good job opportunity colombian military veterans known act hired guns service,0,0.793,0.207,0.35,Objective
world,Educators’ Unions Praise C.D.C. Schools Guidance But Acknowledge Challenges,the unions also acknowledged that challenges lay ahead especially given that vaccines have not been authorized for students under 12,unions also acknowledged challenges lay ahead especially given vaccines authorized students 12,0,0.936,0.064,1,Opinion
world,Taliban Enter Kandahar City and Seize Border Posts,the insurgent assaulted a vital city in afghanistans south on friday less than 24 hours after president biden reaffirmed his decision to withdraw from the country,insurgent assaulted vital city afghanistans south friday less 24 hours president biden reaffirmed decision withdraw country,0.115,0.811,0.074,0.233333333,Objective
world,"Yury Dokhoian, Chess Coach Who Guided Kasparov, Dies at 56",a russian grandmaster he spent a decade working with the longtime world champion who said mr dokhoian gave him stability and confidence he died of the coronavirus,russian grandmaster spent decade working longtime world champion said mr dokhoian gave stability confidence died coronavirus,0.103,0.69,0.207,0.05,Objective
world,Here’s what we know about the new schools guidance the C.D.C. issued on Friday.,the recommendations are a departure from the cdcs past guidelines for schools and arrive less than a month before the first day of school for some districts,recommendations departure cdcs past guidelines schools arrive less month first day school districts,0,1,0,0.216666667,Objective
world,"The C.D.C. Issues New School Guidance, With Emphasis on Full Reopening",the guidance acknowledges that many students have suffered from months of virtual learning,guidance acknowledges many students suffered months virtual learning,0.211,0.789,0,0.5,Objective
world,"After Ex-President’s Arrest, South Africa’s Governing A.N.C. Is More Fractured",there was a sense of relief when jacob zumas arrest went off without bloodshed but his deeply divided party must now find a way forward,sense relief jacob zumas arrest went without bloodshed deeply divided party must find way forward,0.057,0.74,0.202,0.2,Objective
world,"Plane Crash in Sweden Kills 9, Including 8 Sky Divers",the incident was the second to affect a parachutists flight after a similar disaster in the country in 2019,incident second affect parachutists flight similar disaster country 2019,0.186,0.814,0,0.2,Objective
world,London Police Officer Pleads Guilty to Murdering Sarah Everard,wayne couzens had already admitted to kidnapping and raping the 33yearold ms everard whose killing in march set off an outcry against gender violence in britain,wayne couzens already admitted kidnapping raping 33yearold ms everard whose killing march set outcry gender violence britain,0.426,0.538,0.036,0,Factual
world,Factory Fire in Bangladesh Kills at Least 51,the blaze at a sevenstory building where fruit drinks packing materials and plastic packaging were made burned for nearly 24 hours,blaze sevenstory building fruit drinks packing materials plastic packaging made burned nearly 24 hours,0,1,0,0.4,Objective
world,Political instability was fueling a rise in gang violence even before the president was killed.,armed groups have become increasingly powerful in haiti playing on the political instability and the growing poverty to seize control of large swaths of big cities,armed groups become increasingly powerful haiti playing political instability growing poverty seize control large swaths big cities,0.104,0.696,0.199,0.407142857,Objective
world,Biden’s New Push,the us economy suffers from a lack of competition president biden wants to change that,us economy suffers lack competition president biden wants change,0.293,0.707,0,0.4,Objective
world,"Pfizer says it will pursue booster shots and a new vaccine, citing the Delta variant.",,,0,0,0,0,Factual
world,What we know and don’t know about the assassination.,,,0,0,0,0,Factual
world,"2 Americans Claim They Were ‘Translators’ in Haiti Leader's Killing, Judge Says",the two men maintained that the plot to kill president jovenel moïse had been planned intensively for a month a judge involved with the investigation said,two men maintained plot kill president jovenel moïse planned intensively month judge involved investigation said,0.158,0.842,0,0,Factual
world,Two rivals aim to take control in Haiti as the president’s death leaves a power vacuum.,,,0,0,0,0,Factual
world,Chasing After Mysteries in Victoria’s High Country,snowcapped mountains lush green valleys and a string of unsolved disappearances,snowcapped mountains lush green valleys string unsolved disappearances,0,1,0,0.3,Objective
world,Your Friday Briefing,why europeans cant travel to the us,europeans cant travel us,0,1,0,0,Factual
world,"Citing the Delta Variant, Pfizer Will Pursue Booster Shots and a New Vaccine",scientists were critical of the announcement pointing to evidence that the current twodose regimen is powerfully effective against the coronavirus,scientists critical announcement pointing evidence current twodose regimen powerfully effective coronavirus,0.098,0.769,0.132,0.666666667,Opinion
world,Political Crisis in Haiti as Two Prime Ministers Claim Power,despite the interim prime ministers claim that he is in charge after the presidents assassination a volatile political situation poses yet another challenge to democracies in the western hemisphere,despite interim prime ministers claim charge presidents assassination volatile political situation poses yet another challenge democracies western hemisphere,0.121,0.839,0.04,0.05,Objective
world,"Assassination in Haiti: What We Know, and Don’t Know",the killing of president jovenel moïse has rocked the nation stoking fear and confusion about what is to come,killing president jovenel moïse rocked nation stoking fear confusion come,0.38,0.62,0,0,Factual
world,Tokyo Olympics: Inside the Games with The Times,from protests and covidrelated bans on most fans to new sports like surfing and skateboarding times journalists discuss what makes tokyo 2020 unique,protests covidrelated bans fans new sports like surfing skateboarding times journalists discuss makes tokyo 2020 unique,0.075,0.827,0.098,0.727272727,Opinion
world,Your Friday Briefing,suspects detained in haiti,suspects detained haiti,0.718,0.282,0,0,Factual
world,Afghan War Casualty Report: July 2021,at least 161 afghan security forces and 24 civilians were killed in afghanistan in the first eight days of july,least 161 afghan security forces 24 civilians killed afghanistan first eight days july,0.181,0.723,0.096,0.244444444,Objective
world,Will Surgery Slow Down (or Speed Up) a Pope Who’s in a Hurry?,pope francis has often mused about his own mortality and even possible resignation but now as he races to recast the church time is of the essence more than ever,pope francis often mused mortality even possible resignation races recast church time essence ever,0.052,0.948,0,1,Opinion
world,Italians Pay Last Respects to Raffaella Carrà,raffaella carrà spent five decades beaming into the homes of italians on television public mourning for her has few precedents in italy,raffaella carrà spent five decades beaming homes italians television public mourning precedents italy,0.121,0.879,0,0.083333333,Objective
latest,More Power Lines or Rooftop Solar Panels: The Fight Over Energy’s Future,the president and energy companies want new transmission lines to carry electricity from large solar and wind farms some environmentalists and homeowners are pushing for smaller more local systems,president energy companies want new transmission lines carry electricity large solar wind farms environmentalists homeowners pushing smaller local systems,0,0.888,0.112,0.345779221,Objective
latest,The Big Question of the 2022 Midterms: How Will the Suburbs Swing?,democrats and republicans are already jockeying for a crucial voting bloc that soured on donald trump tilted to joe biden and now holds the key to the second half of the presidents term,democrats republicans already jockeying crucial voting bloc soured donald trump tilted joe biden holds key second half presidents term,0,1,0,0.453333333,Objective
latest,"After All-Night Hearing, Texas Republicans Advance Voting Measure",a republicanbacked bill to overhaul the states voting system cleared a key house committee in the legislature on sunday morning after nearly 24 hours of testimony,republicanbacked bill overhaul states voting system cleared key house committee legislature sunday morning nearly 24 hours testimony,0,0.947,0.053,0.7,Opinion
latest,"Branson Beats Jeff Bezos to Space, Aiming to Open Space Tourism",the successful trip was the first in a series to the edge of space and beyond by billionaire entrepreneurs that seek to make human spaceflight more routine,successful trip first series edge space beyond billionaire entrepreneurs seek make human spaceflight routine,0,0.872,0.128,0.461111111,Objective
latest,Richard Branson Calls Flight to Space ‘Experience of a Lifetime’,the virgin galactic space plane landed in new mexico minutes after the crew was carried to the edge of space heres the latest on the flight,virgin galactic space plane landed new mexico minutes crew carried edge space heres latest flight,0,1,0,0.677272727,Opinion
latest,Political Rivals in Haiti Vie for Power After President’s Assassination,the countrys interim prime minister and the senate president were both jockeying for control after the killing of president jovenel moïse,countrys interim prime minister senate president jockeying control killing president jovenel moïse,0.18,0.82,0,0,Factual
latest,How Local Guerrilla Fighters Routed Ethiopia’s Powerful Army,a scrappy force of local tigrayan recruits scored a cascade of battlefield victories against the ethiopian military one of africas strongest times journalists witnessed the decisive week in an eightmonth civil war,scrappy force local tigrayan recruits scored cascade battlefield victories ethiopian military one africas strongest times journalists witnessed decisive week eightmonth civil war,0.165,0.712,0.122,0.05,Objective
latest,Death Valley Hits 130 Degrees as Heat Wave Sweeps the West,temperatures were broiling from utah to california as another heat dome led western states to set up cooling centers and issue motel vouchers,temperatures broiling utah california another heat dome led western states set cooling centers issue motel vouchers,0,1,0,0,Factual
latest,The Police Called It An Accident. She Turned to 1-800-Autopsy.,the close ties between coroners and law enforcement have fueled an unusual and unregulated industry forprofit forensic examinations,close ties coroners law enforcement fueled unusual unregulated industry forprofit forensic examinations,0,1,0,1,Opinion
latest,How Did Allison Highwolf Die? Distrust Fuels a Mystery in Indian Country.,when a northern cheyenne family questioned their daughters untimely death official indifference deepened their pain  and their suspicions,northern cheyenne family questioned daughters untimely death official indifference deepened pain suspicions,0.486,0.514,0,0,Factual
latest,A Breathalyzer to Detect Covid-19? Scientists Are on It.,scientists have been dreaming of diseasedetecting breathalyzers for years has the time for the technology finally come,scientists dreaming diseasedetecting breathalyzers years time technology finally come,0,1,0,1,Opinion
latest,"Short on vaccines, Asia grapples with Delta-driven outbreaks.",across the region everyday activities are again being restricted even as the west edges back to normalcy,across region everyday activities restricted even west edges back normalcy,0.14,0.86,0,0.3,Objective
latest,Soccer Success Is Making England ‘Whole Again’,the stunning rise of englands soccer team is helping define a new vision of englishness putting the lie to those who would stir culture wars,stunning rise englands soccer team helping define new vision englishness putting lie would stir culture wars,0.115,0.669,0.217,0.727272727,Opinion
latest,"Messi Wins First Title With Argentina, Against Brazil in Copa América",a star players glittering career finally gets the one honor it was missing a major title with his national team,star players glittering career finally gets one honor missing major title national team,0.094,0.769,0.137,0.516666667,Opinion
latest,Euro 2020 Final: England vs. Italy Live Updates,,,0,0,0,0,Factual
latest,The Trumpian Roots of the Chip Crisis,were still paying the price of tantrumbased policy,still paying price tantrumbased policy,0,1,0,0,Factual
latest,Oath Keepers Leader Sits for F.B.I. Questioning Against Legal Advice,in a bold move stewart rhodes the founder and leader of the rightwing militia group sat for an interview with federal agents after they seized his phone in may,bold move stewart rhodes founder leader rightwing militia group sat interview federal agents seized phone may,0,0.915,0.085,0.666666667,Opinion
